gene	RVIS
ZNF592	-1.83
DMD	-0.84
WIZ	-0.8
BRSK1	-0.8
SP2	-0.84
DCHS1	-1.38
CACTIN	-0.75
ZBTB34	-0.82
DLGAP4	-0.72
INPP4A	-1.24
PDS5A	-0.69
SF3A1	-0.78
RANBP3	-0.73
KDM3B	-0.75
MTSS1	-0.82
ADARB1	-0.8
PATZ1	-0.8
KHSRP	-0.69
RAPGEF4	-0.77
GALNTL6	-0.82
PIAS4	-0.69
HNRNPUL1	-0.73
FAM5C	-1.16
SLMAP	-1.16
CACNB2	-0.71
ZNF319	-0.75
CLTC	-1.31
DVL2	-1.21
RNF123	-1.12
ARHGAP32	-2.15
F8	-0.75
MFN2	-0.77
DACH1	-0.98
SEC24B	-1.3
MAEA	-0.85
LRRC47	-0.91
MAP2K2	-0.8
ZFR	-0.75
KLHL3	-0.87
TDRD7	-1.28
MYO18A	-1.62
INTS6	-0.87
SLC20A2	-0.75
SYK	-0.76
GTPBP1	-0.78
SAFB	-1.62
ABCG1	-1.37
MYH11	-3.1
FLRT1	-0.71
SLC12A5	-1.37
PEX5	-0.84
FZR1	-0.8
CNR1	-0.96
THOC6	-1.11
PSMD2	-0.66
TNPO1	-0.78
CMIP	-1.53
TLE1	-1.57
TTC7B	-1.57
DNAJC6	-0.66
CTNND1	-0.73
KCNN2	-0.85
ABCB9	-1.82
FNDC3B	-0.63
PHIP	-1.24
WNT4	-0.82
RBM10	-0.67
LMAN2	-0.75
CAMTA2	-0.97
SEC24C	-0.97
ATXN7L2	-0.91
RBM14	-0.71
PUF60	-0.71
L3MBTL3	-0.78
HK1	-1.22
PLEKHA6	-1.21
ACTB	-0.67
STAT6	-0.69
DAXX	-0.82
TRAF7	-1.51
NPLOC4	-0.71
CACNA2D1	-0.75
RELN	-2.15
RASGRP2	-0.8
DSP	-2.23
PDE4A	-1.11
LMX1B	-0.85
EIF2B5	-0.89
EXOC4	-1.28
XKR6	-0.82
CTNNA2	-0.64
AP1G1	-0.76
ARRB1	-0.84
KCND3	-0.8
KIAA1958	-0.96
ASAP2	-1.26
ACACA	-1.61
GNAO1	-0.74
CHD6	-0.97
DLG4	-0.67
RHOBTB1	-0.71
RYR3	-5.87
PRPF6	-1.38
SRC	-0.69
HERC1	-3.88
SCAF4	-1.21
DLGAP1	-1.59
WNK1	-1.07
CTBP1	-0.74
MATN1	-0.75
CDH18	-1.22
XKR4	-0.82
OSBP	-0.8
SFMBT2	-0.62
PCDHGA5	-1.34
RALGDS	-1.34
IGF2BP2	-0.76
KCNQ5	-0.73
XPO6	-0.75
SPECC1	-1.19
AAK1	-0.66
DDX5	-0.71
PHKA2	-0.57
VCPIP1	-0.84
TSC1	-1.04
ZDHHC8	-1.17
SLC29A4	-0.99
RANBP9	-0.76
POLD2	-0.91
ARHGEF7	-1.04
KIF26B	-0.59
WAC	-0.87
STK40	-0.96
ARHGAP44	-1.49
PPP2R2B	-0.74
AKAP17A	-0.63
ADAMTS10	-1.32
MBD1	-0.75
CKAP4	-0.91
CRMP1	-0.75
ADCY5	-2.39
IBTK	-0.66
RBL2	-0.73
MAP3K4	-1.08
FGR	-0.89
CDH10	-0.8
PPP1R16A	-0.78
TECPR1	-2.25
USP47	-0.62
CSF2RB	-1.08
RUFY3	-0.84
DOCK5	-2.35
KCNQ2	-0.67
RELA	-0.69
PIK3R4	-1.13
DENND3	-0.56
CNOT3	-0.6
SPOCK2	-0.73
TBX3	-0.73
IPO7	-0.71
ZKSCAN1	-0.71
CUL9	-2.21
FAM120A	-2.04
EPS8L2	-1.26
SUPT16H	-0.62
KPNB1	-0.62
GRIN1	-1.11
PRPF4B	-0.73
EEF1A2	-0.67
SLC5A3	-0.67
STXBP1	-0.69
DCAF5	-1.11
CDH20	-0.62
JMJD1C	-0.55
LMNA	-0.91
RANBP2	-1.54
NRXN2	-2.16
FZD8	-0.71
DPYSL2	-0.76
EFEMP1	-0.76
MBD3	-0.82
CCT7	-0.8
PKNOX2	-0.8
OSBP2	-0.57
